experiment_name,status,is_complete,dataset_name,model_name,scenario_name,optimizer_name,base_optimizer,run_id,n_samples,seq_len,vocab_size,num_classes,mean_length,max_length,d_model,nhead,num_layers,dim_feedforward,dropout,pooling,mode,target,alpha,beta,mix_lambda,start_epoch,lr,weight_decay,fractional,exp_dir,history_path,log_path,initial_model_path,best_model_path,final_model_path,has_history_json,has_log_txt,has_initial_model_pt,has_best_model_pt,has_final_model_pt,n_epochs_recorded,best_epoch,best_val_macro_f1,best_val_accuracy,best_val_loss,best_val_micro_f1,best_val_weighted_f1,best_val_confidence,final_val_macro_f1,final_val_accuracy,final_val_loss,final_val_micro_f1,final_val_weighted_f1,final_val_confidence,final_train_macro_f1,final_train_accuracy,final_train_loss,mean_grad_norm,mean_fractional_applied_params,mean_epoch_time,total_epoch_time,mean_throughput,log_best_epoch,log_best_val_macro_f1,log_best_val_acc,log_best_val_loss,log_total_run_time_sec
runs_transformer_fractional,complete,True,small_D2_L64,T_wide_mean,adamw,adamw,adamw,0,5000,64,19,10,22.045799255371094,32,192,6,3,768,0.1,mean,,,,,,,0.0003,0.01,0.0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/log.txt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/best_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/final_model.pt,True,True,True,True,True,10,10,0.3222256493902294,0.3650000095367431,1.769599500656128,0.3649999999994996,0.3622175463007872,0.4383516941070556,0.3222256493902294,0.3650000095367431,1.769599500656128,0.3649999999994996,0.3622175463007872,0.4383516941070556,0.3876806069916868,0.4440000057220459,1.521636583328247,2.12252378310027,,49.69951455593109,496.9951455593109,80.49211836171246,10,0.322226,0.365,1.7696,497.05
runs_fractional_hypothesis_v2,complete,True,small_D2_L64,T_wide_mean,baseline_adamw,baseline_adamw,adamw,1,5000,64,19,10,22.045799255371094,32,192,6,3,768,0.1,mean,none,none,,,0.0,,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/final_model.pt,True,True,True,True,True,10,10,0.3019691190225733,0.3569999933242798,1.8161285400390623,0.3569999999994996,0.3490993428756497,0.3490560159683227,0.3019691190225733,0.3569999933242798,1.8161285400390623,0.3569999999994996,0.3490993428756497,0.3490560159683227,0.3039362079998476,0.3700000047683716,1.737883927345276,1.473949433171565,0.0,0.9905595302581788,9.905595302581789,7256.686630783069,10,0.301969,0.357,1.816129,9.97
runs_fractional_focused_final,complete,True,small_D2_L64,T_base_mean,all_mix_a08_lam020,all_mix_a08_lam020,adamw,1,5000,64,19,10,22.045799255371094,32,128,4,3,512,0.1,mean,mix,all,0.8,0.9,0.02,1.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/final_model.pt,True,True,True,True,True,10,10,0.3005282679904493,0.3659999966621399,1.816926248550415,0.3659999999994996,0.3480866695557122,0.3461364784240722,0.3005282679904493,0.3659999966621399,1.816926248550415,0.3659999999994996,0.3480866695557122,0.3461364784240722,0.2703827071657235,0.3415000140666961,1.82760999584198,1.2377756309178758,42.0,1.275073504447937,12.75073504447937,3985.345041603371,10,0.300528,0.366,1.816926,12.82
runs_transformer_fractional,complete,True,small_D2_L64,T_base_mean,adamw,adamw,adamw,0,5000,64,19,10,22.045799255371094,32,128,4,3,512,0.1,mean,,,,,,,0.0003,0.01,0.0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_base_mean/adamw/run_0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_base_mean/adamw/run_0/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_base_mean/adamw/run_0/log.txt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_base_mean/adamw/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_base_mean/adamw/run_0/best_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_base_mean/adamw/run_0/final_model.pt,True,True,True,True,True,10,10,0.2977539374240688,0.3650000095367431,1.7930643844604492,0.3649999999994996,0.3384001077052967,0.4080451946258545,0.2977539374240688,0.3650000095367431,1.7930643844604492,0.3649999999994996,0.3384001077052967,0.4080451946258545,0.3306369111684605,0.3930000066757202,1.6881742544174194,1.8342656322863344,,31.47255384922028,314.7255384922028,127.88928779734948,10,0.297754,0.365,1.793064,314.78
runs_fractional_focused_final,complete,True,small_D2_L64,T_wide_mean,delayed_head_mix_a08_lam015_warm3,delayed_head_mix_a08_lam015_warm3,adamw,0,5000,64,19,10,22.045799255371094,32,192,6,3,768,0.1,mean,mix,head,0.8,0.9,0.015,4.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/final_model.pt,True,True,True,True,True,10,10,0.2976974701540236,0.3709999918937683,1.8287843704223632,0.3709999999994996,0.344231951980931,0.4031621913909912,0.2976974701540236,0.3709999918937683,1.8287843704223632,0.3709999999994996,0.344231951980931,0.4031621913909912,0.3081614493982597,0.3737500011920929,1.7130755882263184,1.461998822625847,1.4,1.2835196018218995,12.835196018218994,4361.25583154148,10,0.297697,0.371,1.828784,12.92
runs_fractional_scenarios,complete,True,small_D2_L64,T_deep_mean,baseline_adamw,baseline_adamw,adamw,1,5000,64,19,10,22.045799255371094,32,128,4,5,512,0.15,mean,none,none,,,0.0,,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/final_model.pt,True,True,True,True,True,10,6,0.2958246094321054,0.3630000054836273,1.8831316776275635,0.3629999999994996,0.3358200513587713,0.3471190814971924,0.275702851487176,0.3549999892711639,1.8609768228530883,0.3549999999994996,0.3140203411174082,0.4056957683563232,0.280557832257337,0.3527500033378601,1.7971952257156372,1.3004408546935666,0.0,1.6920974016189576,16.920974016189575,2701.43848372557,6,0.295825,0.363,1.883132,16.97
runs_fractional_hypothesis_v2,complete,True,small_D2_L64,T_deep_mean,emb_mix_a08_lam015,emb_mix_a08_lam015,adamw,2,5000,64,19,10,22.045799255371094,32,128,4,5,512,0.15,mean,mix,embeddings,0.8,0.9,0.15,1.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/emb_mix_a08_lam015/run_2,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/emb_mix_a08_lam015/run_2/history.json,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/emb_mix_a08_lam015/run_2/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/emb_mix_a08_lam015/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/emb_mix_a08_lam015/run_2/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/emb_mix_a08_lam015/run_2/final_model.pt,True,True,True,True,True,10,6,0.295645600346732,0.3729999959468841,1.8308854990005492,0.3729999999994995,0.3537939568055464,0.3608296699523926,0.2937675325892694,0.3799999952316284,1.7831986331939698,0.3799999999994995,0.3456381512666854,0.3917254219055175,0.2992868514374107,0.3619999885559082,1.792382921218872,1.332314257172495,2.0,1.7563390731811523,17.563390731811523,2647.5632103993453,6,0.295646,0.373,1.830885,17.63
runs_fractional_focused_final,complete,True,small_D2_L64,T_small_mean,delayed_head_mix_a08_lam015_warm3,delayed_head_mix_a08_lam015_warm3,adamw,4,5000,64,19,10,22.045799255371094,32,96,4,2,256,0.1,mean,mix,head,0.8,0.9,0.015,4.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_small_mean/delayed_head_mix_a08_lam015_warm3/run_4,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_small_mean/delayed_head_mix_a08_lam015_warm3/run_4/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_small_mean/delayed_head_mix_a08_lam015_warm3/run_4/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_small_mean/delayed_head_mix_a08_lam015_warm3/run_4/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_small_mean/delayed_head_mix_a08_lam015_warm3/run_4/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_small_mean/delayed_head_mix_a08_lam015_warm3/run_4/final_model.pt,True,True,True,True,True,10,7,0.2946631691392392,0.3589999973773956,1.9053907508850096,0.3589999999994996,0.3371605838491771,0.2993655805587769,0.2683663171286566,0.3440000116825104,1.8688830757141115,0.3439999999994996,0.3145859272240124,0.3261513786315917,0.2651573215576604,0.3387500047683716,1.8814574127197263,1.0283416694713938,1.4,1.0048978805541993,10.048978805541992,5686.1296317256665,7,0.294663,0.359,1.905391,10.08
runs_fractional_hypothesis_v2,complete,True,small_D2_L64,T_small_mean,emb_mix_a08_lam010,emb_mix_a08_lam010,adamw,1,5000,64,19,10,22.045799255371094,32,96,4,2,256,0.1,mean,mix,embeddings,0.8,0.9,0.1,1.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_small_mean/emb_mix_a08_lam010/run_1,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_small_mean/emb_mix_a08_lam010/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_small_mean/emb_mix_a08_lam010/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_small_mean/emb_mix_a08_lam010/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_small_mean/emb_mix_a08_lam010/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_small_mean/emb_mix_a08_lam010/run_1/final_model.pt,True,True,True,True,True,10,7,0.2946631691392392,0.3589999973773956,1.9053607215881347,0.3589999999994996,0.3371605838491771,0.2993376760482788,0.2683502081124236,0.3440000116825104,1.8689046974182129,0.3439999999994996,0.3147364703136145,0.3260725898742675,0.2651505873720554,0.3387500047683716,1.881381244659424,1.0325442965860143,2.0,1.013875961303711,10.13875961303711,5864.221649575654,7,0.294663,0.359,1.905361,10.17
runs_fractional_hypothesis_v2,complete,True,small_D2_L64,T_base_mean,delayed_emb_mix_a08_lam010_warm3,delayed_emb_mix_a08_lam010_warm3,adamw,0,5000,64,19,10,22.045799255371094,32,128,4,3,512,0.1,mean,mix,embeddings,0.8,0.9,0.1,4.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam010_warm3/run_0,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam010_warm3/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam010_warm3/run_0/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam010_warm3/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam010_warm3/run_0/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam010_warm3/run_0/final_model.pt,True,True,True,True,True,10,7,0.2942273801924508,0.3540000021457672,1.8679957981109616,0.3539999999994997,0.3416664052701157,0.3224636821746826,0.2787682556931984,0.3569999933242798,1.8246145715713504,0.3569999999994996,0.3255616675788895,0.3690197286605835,0.2796097780883569,0.34825000166893,1.8153670530319213,1.259877435885107,1.4,1.2334978342056275,12.334978342056274,4197.01156962077,7,0.294227,0.354,1.867996,12.39
runs_fractional_focused_final,complete,True,small_D2_L64,T_deep_mean,delayed_head_mix_a08_lam010_warm3,delayed_head_mix_a08_lam010_warm3,adamw,1,5000,64,19,10,22.045799255371094,32,128,4,5,512,0.15,mean,mix,head,0.8,0.9,0.01,4.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_deep_mean/delayed_head_mix_a08_lam010_warm3/run_1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_deep_mean/delayed_head_mix_a08_lam010_warm3/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_deep_mean/delayed_head_mix_a08_lam010_warm3/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_deep_mean/delayed_head_mix_a08_lam010_warm3/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_deep_mean/delayed_head_mix_a08_lam010_warm3/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_deep_mean/delayed_head_mix_a08_lam010_warm3/run_1/final_model.pt,True,True,True,True,True,10,9,0.2933855090610616,0.3490000069141388,1.830828073501587,0.3489999999994996,0.3287654567430984,0.3220812063217163,0.2865617814119089,0.3470000028610229,1.807530996322632,0.3469999999994996,0.3258364733340567,0.3480749893188476,0.2964847629594135,0.3644999861717224,1.7798839693069457,1.2905923780448276,1.4,1.7395747900009155,17.395747900009155,2719.5177079041337,9,0.293386,0.349,1.830828,17.47
runs_fractional_scenarios,complete,True,small_D2_L64,T_base_mean,embeddings_only_replace_a08,embeddings_only_replace_a08,adamw,0,5000,64,19,10,22.045799255371094,32,128,4,3,512,0.1,mean,replace,embeddings,0.8,0.9,1.0,1.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_base_mean/embeddings_only_replace_a08/run_0,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_base_mean/embeddings_only_replace_a08/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_base_mean/embeddings_only_replace_a08/run_0/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_base_mean/embeddings_only_replace_a08/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_base_mean/embeddings_only_replace_a08/run_0/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_base_mean/embeddings_only_replace_a08/run_0/final_model.pt,True,True,True,True,True,10,9,0.2927786429199635,0.3610000014305115,1.7737584342956545,0.3609999999994996,0.343825168116896,0.3936059951782226,0.274098949256942,0.3569999933242798,1.8097211380004885,0.3569999999994996,0.3278097310792112,0.4322022666931152,0.3196891067118415,0.3857499957084656,1.709377986907959,1.8450662239263709,2.0,15.350623440742492,153.50623440742493,261.16432956561835,9,0.292779,0.361,1.773758,153.55
runs_transformer_fractional,complete,True,small_D2_L64,T_deep_mean,adamw,adamw,adamw,2,5000,64,19,10,22.045799255371094,32,128,4,5,512,0.15,mean,,,,,,,0.0003,0.01,0.0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_deep_mean/adamw/run_2,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_deep_mean/adamw/run_2/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_deep_mean/adamw/run_2/log.txt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_deep_mean/adamw/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_deep_mean/adamw/run_2/best_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_deep_mean/adamw/run_2/final_model.pt,True,True,True,True,True,10,5,0.290847645432307,0.367000013589859,1.8212749719619752,0.3669999999994995,0.3455937776203899,0.3457737989425659,0.2771723672453529,0.3549999892711639,1.7822672100067138,0.3549999999994996,0.3322898222998118,0.3769614524841309,0.3209901520049791,0.382750004529953,1.6906077632904053,1.8832947539897755,,48.54808497428894,485.4808497428894,82.51001760628661,5,0.290848,0.367,1.821275,485.53
runs_fractional_scenarios,complete,True,small_D2_L64,T_wide_mean,ffn_only_replace_a08,ffn_only_replace_a08,adamw,2,5000,64,19,10,22.045799255371094,32,192,6,3,768,0.1,mean,replace,ffn,0.8,0.9,1.0,1.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_wide_mean/ffn_only_replace_a08/run_2,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_wide_mean/ffn_only_replace_a08/run_2/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_wide_mean/ffn_only_replace_a08/run_2/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_wide_mean/ffn_only_replace_a08/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_wide_mean/ffn_only_replace_a08/run_2/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_wide_mean/ffn_only_replace_a08/run_2/final_model.pt,True,True,True,True,True,10,10,0.2895815902151809,0.3409999907016754,1.9065144157409668,0.3409999999994996,0.3388387757890659,0.3795797462463379,0.2895815902151809,0.3409999907016754,1.9065144157409668,0.3409999999994996,0.3388387757890659,0.3795797462463379,0.281057653084302,0.3497500121593475,1.8259883785247804,1.704015789399604,12.0,1.3043555736541748,13.043555736541748,4117.884193738915,10,0.289582,0.341,1.906514,13.13
