scenario_name,scenario_family,mode,target,alpha,beta,mix_lambda,start_epoch,trainable_scope,delta_test_macro_f1_vs_baseline_count,delta_test_macro_f1_vs_baseline_mean,delta_test_macro_f1_vs_baseline_std,delta_test_macro_f1_vs_baseline_min,delta_test_macro_f1_vs_baseline_max,delta_test_macro_f1_vs_baseline_sum,delta_test_accuracy_vs_baseline_count,delta_test_accuracy_vs_baseline_mean,delta_test_accuracy_vs_baseline_std,delta_test_accuracy_vs_baseline_min,delta_test_accuracy_vs_baseline_max,delta_test_accuracy_vs_baseline_sum,delta_val_macro_f1_vs_baseline_count,delta_val_macro_f1_vs_baseline_mean,delta_val_macro_f1_vs_baseline_std,delta_val_macro_f1_vs_baseline_min,delta_val_macro_f1_vs_baseline_max,delta_val_macro_f1_vs_baseline_sum,beats_baseline_test_macro_f1_count,beats_baseline_test_macro_f1_mean,beats_baseline_test_macro_f1_std,beats_baseline_test_macro_f1_min,beats_baseline_test_macro_f1_max,beats_baseline_test_macro_f1_sum
emb_replace_a050,embedding_alpha_sweep_replace,replace,embeddings,0.5,0.9,1.0,1.0,all,60,0.015559278489288902,0.03667903089963018,-0.02360253454600303,0.12742945252268095,0.9335567093573341,60,0.01274120459953944,0.03275769178106748,-0.022680044174194336,0.10913434624671936,0.7644722759723663,60,0.021795289387619998,0.041313005241681106,-0.02021221208170132,0.1545240671735143,1.3077173632572,60,0.45,0.5016920522135438,False,True,27
emb_replace_a060,embedding_alpha_sweep_replace,replace,embeddings,0.6,0.9,1.0,1.0,all,60,0.01401921406486188,0.03941845480147652,-0.026952173266741486,0.1734916075992421,0.8411528438917129,60,0.012148800988992054,0.03551637753749364,-0.02171999216079712,0.15215083956718445,0.7289280593395233,60,0.021225525182923904,0.0442357971046831,-0.05067089977277772,0.17601947948158647,1.2735315109754342,60,0.48333333333333334,0.5039392842990978,False,True,29
emb_replace_a080,embedding_alpha_sweep_replace,replace,embeddings,0.8,0.9,1.0,1.0,all,60,0.013188625011309943,0.03294103799447059,-0.018663449631212692,0.13771070935377733,0.7913175006785966,60,0.010577203333377838,0.028611285741257198,-0.01867997646331787,0.11723309755325317,0.6346322000026703,60,0.020604985384307408,0.04097310510498422,-0.015559936963907561,0.1587736412613373,1.2362991230584446,60,0.45,0.5016920522135438,False,True,27
emb_replace_a090,embedding_alpha_sweep_replace,replace,embeddings,0.9,0.9,1.0,1.0,all,60,0.013027593713947041,0.03734594039126687,-0.020987056535264448,0.13283403075737354,0.7816556228368224,60,0.010733202596505483,0.03238137655502829,-0.02087998390197754,0.11563995480537415,0.643992155790329,60,0.02018681892495188,0.04458118660751917,-0.04336886297232767,0.1654380468406632,1.2112091354971128,60,0.35,0.48099473199130766,False,True,21
emb_replace_a070,embedding_alpha_sweep_replace,replace,embeddings,0.7,0.9,1.0,1.0,all,60,0.012259402698826057,0.03816297627991712,-0.022705190767987715,0.14560913908418466,0.7355641619295634,60,0.00991530269384384,0.03340722765140721,-0.022639989852905273,0.12798726558685303,0.5949181616306305,60,0.019189439185099657,0.040852204180627356,-0.020319564428176284,0.15041840721265004,1.1513663511059795,60,0.4,0.4940321817555709,False,True,24
emb_mix_a08_lam015,embedding_weak_mix,mix,embeddings,0.8,0.9,0.015,1.0,all,60,0.0007633900547505456,0.009505123211258855,-0.024831217696797747,0.03861517062669734,0.04580340328503274,60,0.0006616289416948954,0.007525038779562007,-0.019516736268997192,0.036643654108047485,0.039697736501693726,60,0.0014041408662620843,0.016517804462565608,-0.053706349063048664,0.040643919892141445,0.08424845197572506,60,0.48333333333333334,0.5039392842990978,False,True,29
emb_mix_a08_lam010,embedding_weak_mix,mix,embeddings,0.8,0.9,0.01,1.0,all,60,0.0006039505008366207,0.013515238622810195,-0.059160260311311,0.04860364391786409,0.03623703005019724,60,0.0004952430725097656,0.011212734660279394,-0.04899096488952637,0.04208710789680481,0.029714584350585938,60,0.002448329847298998,0.014407081768367457,-0.03940139746536414,0.044979890011293544,0.14689979083793986,60,0.45,0.5016920522135438,False,True,27
delayed_head_mix_a08_lam010_warm1,head_mixed_control,mix,head,0.8,0.9,0.01,2.0,all,60,-0.0001595789818486265,0.012950241212370806,-0.02586201447927189,0.07444018592962365,-0.00957473891091759,60,9.967138369878133e-05,0.010311175412643894,-0.01792353391647339,0.057488054037094116,0.00598028302192688,60,-0.00012021526604115799,0.01709302972833766,-0.03715976660770459,0.06301445750457285,-0.007212915962469479,60,0.4166666666666667,0.4971671160112441,False,True,25
bottom1_replace_a070,bottom1_layer_replace,replace,bottom1,0.7,0.9,1.0,1.0,all,60,-0.17968073167863904,0.3357191516604876,-0.8455125592648192,0.09534454043453,-10.780843900718343,60,-0.1481675901139776,0.277224015334516,-0.6955263018608093,0.07966011762619019,-8.890055406838655,60,-0.17990884006684946,0.3362422132751803,-0.8472499700486896,0.10142943454336145,-10.794530404010967,60,0.25,0.4366668823046864,False,True,15
emb_plus_bottom1_replace_a070,embedding_plus_bottom1_replace,replace,embeddings_plus_bottom1,0.7,0.9,1.0,1.0,all,60,-0.2271823553369306,0.37224978558892097,-0.8455125592648192,0.15038696074753188,-13.630941320215836,60,-0.1894406854485472,0.31099364403016166,-0.6955263018608093,0.1298460066318512,-11.366441126912832,60,-0.2234106962863297,0.3769382753459231,-0.8448589424971871,0.1791137834261699,-13.404641777179782,60,0.25,0.4366668823046864,False,True,15
bottom2_replace_a070,bottom2_layer_replace,replace,bottom2,0.7,0.9,1.0,1.0,all,60,-0.29398768342620785,0.3813824094015709,-0.8455125592648192,0.11573389287365193,-17.63926100557247,60,-0.2450364769125978,0.3203513516181498,-0.6955263018608093,0.10090282559394836,-14.702188614755869,60,-0.29819723453470076,0.38549190576413317,-0.846420081241531,0.12617576300176414,-17.891834072082045,60,0.16666666666666666,0.3758230140014144,False,True,10
negative_full_replace_a08,negative_global_replace,replace,all,0.8,0.9,1.0,1.0,all,60,-0.2967909003692826,0.38159579331477084,-0.8455125592648192,0.1836766383731317,-17.807454022156953,60,-0.24315744681904713,0.31618022332262113,-0.6955263018608093,0.15932023525238037,-14.589446809142828,60,-0.2946463883290644,0.38982209587333483,-0.8468189371349231,0.20573706979910844,-17.678783299743866,60,0.18333333333333332,0.3902049294994231,False,True,11
